year,day,low,open,high,close,volumn
2016, 0407, 320864, 326629, 327082, 320929, 11240946700
2016, 0408, 316331, 318985, 319777, 318573, 10100562500
2016, 0411, 321351, 321351, 325157, 323010, 12521270900
2016, 0412, 319890, 322737, 323226, 321845, 9286943700
2016, 0413, 323786, 323786, 329652, 326138, 19561387000
2016, 0414, 325205, 327710, 328607, 327583, 11315732700
2016, 0415, 326173, 327986, 328299, 327221, 9980752900
2016, 0418, 322166, 325267, 325267, 322845, 9709006900
2016, 0419, 322158, 324397, 325073, 323830, 8087144000
2016, 0420, 310737, 324414, 324842, 318103, 16220786000
2016, 0421, 315094, 316080, 319856, 316060, 10475265100
2016, 0422, 313799, 314256, 317538, 317490, 7707849200
2016, 0425, 313711, 316474, 317227, 316203, 6751935100
2016, 0426, 315040, 315977, 318110, 317916, 5902073400
2016, 0427, 316269, 318193, 318883, 316592, 6000414700
2016, 0428, 313564, 316933, 317477, 316058, 6987066000
2016, 0429, 314940, 315354, 317129, 315675, 5802977600
2016, 0503, 315141, 315982, 321849, 321354, 9816483500
2016, 0504, 319829, 320347, 322288, 320946, 9086240800
2016, 0505, 319657, 320417, 321728, 321392, 7473368100
2016, 0506, 313015, 321314, 321689, 313035, 10868024000
2016, 0509, 305501, 311543, 311543, 306562, 9923047700
2016, 0510, 305518, 305521, 308472, 306911, 6884993500
2016, 0511, 306309, 308064, 310288, 308281, 8179425800
2016, 0512, 303502, 305938, 309535, 309014, 7876572600
2016, 0513, 306469, 308168, 310310, 307494, 6262975500
2016, 0516, 305366, 306453, 309556, 309531, 5946185600
2016, 0517, 307346, 309552, 310520, 308602, 6527812500
2016, 0518, 303946, 307153, 307261, 306804, 8271536900
2016, 0519, 305815, 306034, 308698, 306250, 6044416600
2016, 0520, 304152, 304778, 307853, 307822, 5608084200
2016, 0523, 307650, 307852, 309848, 308722, 5969721600
2016, 0524, 305259, 308324, 308326, 306356, 5873438500
2016, 0525, 305487, 307975, 308910, 305923, 5665280300
2016, 0526, 302744, 305660, 307252, 306421, 6039298100
2016, 0527, 305218, 305973, 307376, 306250, 6046875000
2016, 0530, 303766, 305631, 307526, 306671, 6309857900
2016, 0531, 306860, 306860, 317093, 316956, 13886311000
2016, 0601, 315982, 317296, 318179, 316055, 11314848200
2016, 0602, 315107, 315803, 316882, 316710, 8600342700
2016, 0603, 316209, 317295, 320175, 318933, 10149178300
2016, 0606, 316855, 319278, 319722, 317879, 7669375100
